id,luas_m2,harga_juta,kota,kamar,tahun_bangun,kondisi
72,202.7,746.0,Dpk,6.0,2017.0,baik
73,193.8,894.0,Bandung,6.0,1960.5,perlu renovasi
74,296.4,1406.0,Depok,1.0,1982.0,cukup
75,56.9,176.0,Semarang,2.0,1999.0,sedang
76,282.4,1077.0,Bandung,1.0,2001.0,sedang
77,308.4,1005.0,Bandung,2.0,1987.0,rusak
78,43.8,139.0,Medan,1.0,2017.0,baik
79,240.7,987.0,Jogja,5.0,2001.0,baik
80,193.8,1719.25,Jakarta,2.0,1986.0,sedang
81,326.4,1492.0,Depok,5.0,2020.0,sedang
82,308.5,1204.0,Surabaya,5.0,1982.0,baik
83,235.1,655.0,Mksr,1.0,2012.0,baik
84,218.5,696.0,Bandung,2.0,2042.5,sedang
85,74.9,304.0,Yogyakarta,5.0,1995.0,baik
86,-50.0,345.0,Depok,5.0,2008.0,baik
87,98.7,575.0,Jakarta,1.0,1988.0,bagus
88,237.7,1468.0,Jakarta,3.0,2016.0,cukup
89,224.2,691.0,Semarang,2.0,1984.0,bagus
90,166.7,655.0,Jogja,1.0,1997.0,baik
91,72.3,655.0,Jogja,3.0,2009.0,baik
92,210.3,818.0,Depok,2.0,2002.0,baik
93,193.8,455.0,Yogyakarta,1.0,1986.0,baik
94,310.8,767.0,Makassar,3.0,1998.0,cukup
95,225.4,655.0,Depok,1.0,1983.0,bagus
96,343.6,1687.0,Jakarta,3.0,2011.0,baik
97,135.2,380.0,Medan,1.0,1989.0,sedang
98,268.0,1525.0,Jakarta,4.0,2007.0,sedang
99,310.6,1148.0,Bandung,1.0,2005.0,sedang
100,167.6,529.0,Bandung,5.0,2015.0,baik
101,288.5,1023.0,Semarang,1.0,1998.0,baik
102,221.6,1719.25,Medan,4.0,2022.0,sedang
103,178.5,655.0,Mdn,3.0,2042.5,sedang
104,512.9749999999999,179.0,Ygy,4.0,1985.0,bagus
105,319.4,943.0,Semarang,4.0,1987.0,baik
106,270.2,677.0,Medan,3.0,2012.0,baik sekali
107,110.3,247.0,Mksr,4.0,1982.0,sedang
108,341.2,1357.0,Sby,6.0,2010.0,baik
109,165.5,696.0,Surabaya,2.0,1992.0,baik
110,65.7,655.0,Makassar,1.0,1993.0,baik
111,222.7,595.0,Makassar,4.0,2016.0,baik
112,327.3,1146.0,Surabaya,4.0,2022.0,baik
113,193.8,1091.0,Bandung,4.0,1987.0,rusak
114,67.1,210.0,Medan,3.0,2003.0,jelek
115,52.8,206.0,Yogyakarta,2.0,2002.0,baik
116,286.2,634.0,Makassar,1.0,1983.0,sedang
117,193.8,171.0,Makassar,6.0,2001.0,rusak
118,339.4,1384.0,Surabaya,1.0,1990.0,baik
119,336.1,1382.0,Surabaya,1.0,2019.0,jelek
120,90.8,655.0,Yogyakarta,5.0,1996.0,rusak
121,69.3,231.0,Jogja,2.0,2002.0,rusak
122,81.9,349.0,Depok,6.0,2011.0,baik
123,74.3,247.0,Smg,3.0,1990.0,bagus
124,77.2,258.0,Yogyakarta,4.0,2003.0,baik
125,160.8,455.0,Makassar,4.0,2002.0,rusak
126,330.2,1050.0,Semarang,6.0,1993.0,baik
127,193.8,655.0,Makassar,5.0,2008.0,baik
128,84.1,202.0,Makassar,2.0,1986.0,baik
129,88.0,252.0,Makassar,1.0,1986.0,bagus
130,215.4,941.0,Yogyakarta,1.0,2013.0,cukup
